tree_head,effect_logit,effect_OR
C10.720,-0.012867211254685445,0.9872152173870358
I03.350,-0.01283919107100704,0.9872428797263071
D01.695,-0.012682626916462297,0.9873974586735471
C02.839,-0.012470215828766966,0.9876072151182402
F01.058,-0.012199999748827779,0.9878741185276015
E04.292,-0.012185551463123008,0.9878883917182177
C05.660,-0.012029842569085769,0.9880422267035514
D08.622,-0.011977676998496506,0.9880937698344503
C22.131,-0.011793416409056956,0.9882758533497943
C09.400,-0.011501425853019127,0.9885644626992843
G07.568,-0.011420819141953696,0.988644150840955
C08.528,-0.011223487968393996,0.9888392604014397
H02.163,-0.011158993437084739,0.9889030371826841
E06,-0.011158993437084739,0.9889030371826841
E02.912,-0.011105562156206977,0.9889558769502603
E02.120,-0.011105562156206977,0.9889558769502603
D02.654,-0.010516723414212933,0.9895383839692503
E05.472,-0.01040658091199134,0.9896473802053539
E02.085,-0.01040658091199134,0.9896473802053539
D25,-0.010383569666265908,0.9896701534864212
G09,-0.010348603823074898,0.9897047587428163
M01.785,-0.009906410076390688,0.9901424967735731
C20.920,-0.009645718666730328,0.990400652064793
E05.242,-0.009504610534373617,0.9905404155117383
G10,-0.009481954561592417,0.9905628574226515
E04.270,-0.009389062209207932,0.9906548774105726
G12.535,-0.009200956806544154,0.9908412424727768
E05.940,-0.008876537079373366,0.991162743066077
I01.261,-0.008671644751365132,0.991365845514295
G01.358,-0.008518772696021608,0.9915174092333295
G01,-0.008425459705642279,0.9916099350046593
C07.320,-0.008314124718769848,0.991720342029724
C26.915,-0.008247970122492905,0.991785951058716
C10.900,-0.008247970122492905,0.991785951058716
F04.669,-0.00805068438192836,0.9919816355868011
D02.442,-0.008000625025980328,0.9920312947915343
F02.463,-0.0075336352984235215,0.9924946714032546
C23.149,-0.006713979202041971,0.9933085091992881
G02.263,-0.006632770385019517,0.9933891778837185
G01.280,-0.006632770385019517,0.9933891778837185
E02.365,-0.006472263699513651,0.9935486362848054
D04.075,-0.006339609911689594,0.9936804430169338
F03.950,-0.006284714655894606,0.9937349928562818
D02.478,-0.006060651614010732,0.993957677088329
C02.330,-0.006035976100995086,0.9939822038065306
G12.122,-0.0057786601455862485,0.9942380041963118
E05.980,-0.00568934389443415,0.9943268097734311
N04.590,-0.005580145027315479,0.9944353950631916
N03.706,-0.005580145027315479,0.9944353950631916
N05.425,-0.005580145027315479,0.9944353950631916
E02.331,-0.005367123074573605,0.9946472541974456
F04.047,-0.00520329045599567,0.9948102232111178
E04.525,-0.005054124333555542,0.9949586262627567
E04.074,-0.004752305267186808,0.9952589690687235
G01.590,-0.004259386348010804,0.9957496719724941
C02.219,-0.0039605991154673895,0.9960472337128995
C03.202,-0.0039605991154673895,0.9960472337128995
E07.206,-0.003948679180457003,0.9960591066019545
E05.873,-0.0033694161386900075,0.9966362539737573
A10.830,-0.0033569896010209855,0.9966486387886596
G02,-0.0033163851925097584,0.9966891079387385
I03.450,-0.0028367436784559052,0.9971672760769891
D26.650,-0.0027029153922682424,0.9973007341946253
L01.559,-0.0026835615372868024,0.9973200359951893
D01.786,-0.0026835615372868024,0.9973200359951893
L01.143,-0.0026835615372868024,0.9973200359951893
E05.723,-0.0026835615372868024,0.9973200359951893
E05.796,-0.0026835615372868024,0.9973200359951893
C05.500,-0.002078531179692462,0.9979236274703739
