tree_head,effect_logit,effect_OR
C04.651,-0.029685792337995717,0.9707505028800483
C11.510,-0.0293927680980899,0.9710349979882387
N03.349,-0.02892693231936976,0.9714874462077935
N05.700,-0.02869651871030334,0.9717113159267614
G07.568,-0.027901826970292556,0.9724838337993336
A12.200,-0.0272527201829338,0.97311528457377
C24.900,-0.02547984998741573,0.9748420218468462
C23.149,-0.02509285319738515,0.975219355588852
D01.362,-0.02507052843135732,0.9752411273758154
E02.258,-0.024997418815107163,0.9753124294867924
E04.950,-0.024282846282220102,0.9760096100232521
G03,-0.02417459110414729,0.9761152738366102
E02.880,-0.02407547592565875,0.9762120264709501
D10.212,-0.02353911414874087,0.9767357697334941
E02.831,-0.02353028607537485,0.9767443924665895
D01.303,-0.022898032476547207,0.9773621378891661
C11.744,-0.02286138160882035,0.9773979597160496
E04.936,-0.022736968887061275,0.977519568021113
C11.294,-0.022319210085963964,0.9779280207353164
D01.490,-0.022272345812100827,0.9779738516958074
G01.750,-0.022079751664224646,0.9781622218753349
L01.399,-0.021526061980260573,0.9787039701732121
E02.815,-0.021487383232696,0.9787418259491172
C16.300,-0.021370410069115796,0.9788563191730134
E07.605,-0.02079912600039356,0.9794156839566067
F04.570,-0.02072878177211643,0.9794845826203404
J02,-0.020568113072142572,0.9796419677779702
C04.182,-0.02002213599345326,0.980176975875488
D01.510,-0.01963714212925567,0.9805544106474016
C26.103,-0.019624175298804197,0.9805671254126278
C24,-0.01935113890274224,0.9808348924800614
G05.558,-0.018503584265290595,0.981666556032122
N03.219,-0.018399988768780483,0.9817682575342194
C02.081,-0.018292705628476836,0.9818735903660556
N03,-0.0181324666607927,0.9820309373827972
F04,-0.017588720827816165,0.9825650578125723
E02.779,-0.01660358727425652,0.9835334925600396
C26.117,-0.016450444044189754,0.9836841255898892
E02.870,-0.01618856442957822,0.9839417661435301
D20.280,-0.016182364493584973,0.9839478665384123
C07.320,-0.015826434601676077,0.9842981453298415
D08.622,-0.01501195123953471,0.9851001663646565
C05.660,-0.014931904894590507,0.9851790231884361
C10.720,-0.013978453282624113,0.9861187916568581
G04.146,-0.013909672801347263,0.9861866197145409
E02.190,-0.013853397602236667,0.9862421191245311
G01.358,-0.013806224966039313,0.9862886438625578
D25.223,-0.013738818694327457,0.9863551281435758
C26.819,-0.013655539897669431,0.986437274032183
E04.270,-0.013527234220705413,0.9865638476542937
N01.400,-0.013252364281086134,0.9868350616721118
N04.590,-0.012987762735672795,0.9870962143036696
C08.528,-0.012937393692022374,0.9871459346481476
G09,-0.01257977758065692,0.9874990170688649
D27.888,-0.012412704735738165,0.9876640151219643
D02.442,-0.012401380071027123,0.9876752001491159
D02.691,-0.012371927795730002,0.9877042898593918
I03.883,-0.012257422169346967,0.9878173940331919
G01,-0.012027925731682577,0.9880441206216626
E05.242,-0.011650433750801775,0.988417169761053
H02.163,-0.011500268018484987,0.9885656072940211
E06,-0.011500268018484987,0.9885656072940211
C06.844,-0.010695202939553112,0.9893617873880794
N01.824,-0.010324340353977238,0.9897287727049756
