nct_id,total_cells,empty_cells,completeness_percentage
NCT01702493,365,75,79.45205479452055
NCT00265148,9586,2634,72.5224285416232
NCT00337818,3769,1019,72.96365083576545
NCT00343915,6281,2166,65.5150453749403
NCT00345579,4277,1052,75.40332008417114
NCT00345878,2480,740,70.16129032258064
NCT00363142,4312,1348,68.73840445269016
NCT00420316,2004,553,72.40518962075848
NCT00440947,16151,4432,72.55897467649062
NCT00454987,12367,3981,67.80949300557937
NCT00524576,1739,497,71.42035652673951
NCT00650104,5147,1624,68.44763940159316
NCT00731822,1851,473,74.4462452728255
NCT00792909,13819,4323,68.71698386279759
NCT01018186,16474,5081,69.15746024037878
NCT01041404,59640,17291,71.00771294433267
NCT01196988,21408,6895,67.79241405082212
NCT01316913,7381,1714,76.77821433410107
NCT01328041,6980,1718,75.38681948424069
NCT01333813,1565,477,69.52076677316293
NCT01366209,6216,1473,76.3030888030888
NCT01431950,2630,668,74.60076045627376
NCT00038506,510,105,79.41176470588235
NCT00043875,883,160,81.87995469988675
NCT00043914,241,76,68.46473029045643
NCT00044577,1052,183,82.60456273764258
NCT00062790,361,93,74.23822714681441
NCT00085943,1489,244,83.61316319677636
NCT00102882,1163,167,85.64058469475495
NCT00108914,875,160,81.71428571428571
NCT00113165,1634,247,84.88372093023256
NCT00115492,1324,183,86.17824773413898
NCT00139815,413,74,82.08232445520581
NCT00140712,340,76,77.6470588235294
NCT00169546,363,71,80.44077134986226
NCT00196924,853,171,79.95310668229777
NCT00306943,262,78,70.22900763358778
NCT00307541,580,122,78.96551724137932
NCT00345956,237,80,66.24472573839662
NCT00354965,363,76,79.0633608815427
NCT00370097,347,71,79.53890489913545
NCT00500955,1322,221,83.28290468986384
NCT00544154,287,78,72.82229965156795
NCT00544271,347,86,75.21613832853026
NCT00643643,466,102,78.11158798283262
NCT00883909,2728,466,82.91788856304986
NCT01128634,288,67,76.73611111111111
NCT01147718,311,65,79.09967845659163
NCT01521390,325,72,77.84615384615384
NCT01583036,352,88,75.0
NCT02660736,337,75,77.74480712166172
NCT00325156,2584,668,74.14860681114551
NCT00363311,10148,2920,71.22585731178557
NCT00449670,21264,6955,67.29213694507148
NCT00452699,3195,850,73.39593114241002
NCT00456625,687,191,72.19796215429403
NCT00463437,10332,3684,64.34378629500581
NCT00480324,4521,1384,69.38730369387304
NCT00502775,6173,1970,68.0868297424267
NCT00532298,12921,4117,68.13714108815107
NCT00546078,6804,2273,66.59318048206937
NCT00548171,3861,1173,69.61926961926962
NCT00549900,1975,723,63.392405063291136
NCT00579982,2738,890,67.4945215485756
NCT00627458,7470,2176,70.87014725568942
NCT00633074,4568,1494,67.29422066549913
NCT00652743,24933,6555,73.70954157141138
NCT00678301,6418,1912,70.2087877843565
NCT00678886,9959,2480,75.09790139572246
NCT00714285,9194,3314,63.95475309984773
NCT00765076,14066,4482,68.13593061282525
NCT00766090,6212,1927,68.97939471989697
NCT00808444,5214,1446,72.26697353279631
NCT00811798,549,149,72.85974499089254
NCT00823836,12132,3734,69.22189251566107
NCT00871000,4211,1269,69.86464022797435
NCT00871117,3804,1195,68.5856992639327
NCT00911157,3043,831,72.69142293789024
NCT00929331,4095,1379,66.32478632478633
NCT00950833,8875,2581,70.91830985915493
NCT00964158,14946,5439,63.608992372541145
NCT00971321,9973,3422,65.68735586082423
NCT00975884,36731,14043,61.76798889221639
NCT00981409,2829,771,72.74655355249205
NCT00989287,11857,3700,68.79480475668382
NCT01017146,7634,2745,64.04244170814776
NCT01021293,5307,1945,63.35029206708121
NCT01106092,7344,2098,71.43246187363835
NCT01139580,2433,783,67.81750924784217
NCT01144299,2869,930,67.58452422446845
NCT01323673,3129,1001,68.0089485458613
NCT00210821,248,77,68.95161290322581
NCT00379977,287,75,73.86759581881533
NCT00444509,279,69,75.26881720430107
NCT00688207,299,67,77.59197324414716
NCT00811356,325,60,81.53846153846153
NCT01112787,269,59,78.06691449814126
NCT01480609,248,67,72.98387096774194
NCT02386436,288,69,76.04166666666667
NCT00097370,5544,1335,75.91991341991341
NCT00297258,3440,1038,69.82558139534883
NCT00310388,40712,13032,67.98978188249166
NCT00320385,6470,1339,79.30448222565688
NCT00321373,6009,1828,69.57896488600433
NCT00380393,10366,3285,68.30985915492958
NCT00387764,4958,1588,67.97095603065752
NCT00534638,13297,4301,67.65435812589305
NCT00699972,5222,1405,73.09459977020299
NCT00839254,64033,16776,73.80100885480924
NCT01148459,9521,3196,66.43209746875328
NCT01153763,3466,866,75.01442585112521
NCT01357850,10197,2278,77.66009610669805
NCT01393743,5321,1263,76.26386017665853
NCT01563029,7090,1839,74.06205923836389
NCT01627340,2861,685,76.05732261447046
NCT01641692,23303,7078,69.62622838261169
NCT01808261,12209,3727,69.47333933983127
NCT01827839,3513,1173,66.60973526900085
NCT01842607,7070,2091,70.42432814710043
NCT01934231,2466,935,62.08434712084347
NCT01974895,4966,1486,70.07652033830044
NCT02045797,33929,10965,67.6825134840402
NCT02124798,1372,338,75.36443148688046
NCT02152605,2306,555,75.9323503902862
NCT02236611,2745,647,76.42987249544626
NCT02416180,1021,266,73.94711067580803
NCT00097825,472,102,78.38983050847457
NCT00315744,1308,187,85.70336391437309
NCT00455572,669,116,82.66068759342302
NCT00459550,346,74,78.61271676300578
NCT00527033,301,85,71.76079734219269
NCT00756067,341,89,73.90029325513197
NCT00920192,352,86,75.56818181818181
NCT00964106,561,66,88.23529411764706
NCT01039961,285,76,73.33333333333333
NCT01225081,354,105,70.33898305084746
NCT01267071,324,80,75.30864197530865
NCT01309542,1382,252,81.76555716353111
NCT01366560,283,73,74.20494699646643
NCT01428479,277,64,76.89530685920577
NCT01453478,275,65,76.36363636363636
